Nr points, dim, nr neigh, python execution time
128,16,2,0.0006830692291259766
128,32,2,0.0008158683776855469
128,64,2,0.0007069110870361328
128,128,2,0.0007526874542236328
128,2,4,0.0009160041809082031
128,4,4,0.0008080005645751953
128,8,4,0.0008280277252197266
128,16,4,0.0007760524749755859
128,32,4,0.0007610321044921875
128,64,4,0.0008702278137207031
128,128,4,0.000949859619140625
128,2,8,0.0009331703186035156
128,4,8,0.0008640289306640625
128,8,8,0.0008199214935302734
128,16,8,0.0009200572967529297
128,32,8,0.0011966228485107422
128,64,8,0.001013040542602539
128,128,8,0.0008718967437744141
128,2,16,0.0010139942169189453
128,4,16,0.0009248256683349609
128,8,16,0.0008528232574462891
128,16,16,0.0009589195251464844
128,32,16,0.0009632110595703125
128,64,16,0.000865936279296875
128,128,16,0.0008869171142578125
128,2,32,0.0013310909271240234
128,4,32,0.0010759830474853516
128,8,32,0.0011749267578125
128,16,32,0.0010738372802734375
128,32,32,0.0013360977172851562
128,64,32,0.0010290145874023438
128,128,32,0.0010738372802734375
256,2,2,0.0017058849334716797
256,4,2,0.0015940666198730469
256,8,2,0.0016028881072998047
256,16,2,0.0016171932220458984
256,32,2,0.0015499591827392578
256,64,2,0.0018062591552734375
256,128,2,0.0017538070678710938
256,2,4,0.002050161361694336
256,4,4,0.0021898746490478516
256,8,4,0.0019497871398925781
256,16,4,0.0018391609191894531
256,32,4,0.0019071102142333984
256,64,4,0.0018839836120605469
256,128,4,0.0023059844970703125
256,2,8,0.0022351741790771484
256,4,8,0.0022499561309814453
256,8,8,0.0021228790283203125
256,16,8,0.0020470619201660156
256,32,8,0.0019478797912597656
256,64,8,0.002061128616333008
256,128,8,0.0020568370819091797
256,2,16,0.0020880699157714844
256,4,16,0.002321958541870117
256,8,16,0.0021829605102539062
256,16,16,0.002145051956176758
256,32,16,0.0021200180053710938
256,64,16,0.0021741390228271484
256,128,16,0.0022368431091308594
256,2,32,0.002573251724243164
256,4,32,0.002337932586669922
256,8,32,0.0026450157165527344
256,16,32,0.0024030208587646484
256,32,32,0.0024161338806152344
256,64,32,0.002624034881591797
256,128,32,0.002783060073852539
256,2,64,0.0027608871459960938
256,4,64,0.0031991004943847656
256,8,64,0.0038840770721435547
256,16,64,0.0035767555236816406
256,32,64,0.003696918487548828
256,64,64,0.003874063491821289
256,128,64,0.00368499755859375
512,2,2,0.005585193634033203
512,4,2,0.005702018737792969
512,8,2,0.005860090255737305
512,16,2,0.005975961685180664
512,32,2,0.005805015563964844
512,64,2,0.00597691535949707
512,128,2,0.008375167846679688
512,2,4,0.0076673030853271484
512,4,4,0.007973194122314453
512,8,4,0.007747173309326172
512,16,4,0.0071222782135009766
512,32,4,0.007827997207641602
512,64,4,0.007946014404296875
512,128,4,0.008590936660766602
512,2,8,0.007621049880981445
512,4,8,0.007507801055908203
512,8,8,0.007875919342041016
512,16,8,0.007570028305053711
512,32,8,0.007844686508178711
512,64,8,0.008197307586669922
512,128,8,0.0077190399169921875
512,2,16,0.00815892219543457
512,4,16,0.008241891860961914
512,8,16,0.007689952850341797
512,16,16,0.008009910583496094
512,32,16,0.008066892623901367
512,64,16,0.007972240447998047
512,128,16,0.008020162582397461
512,2,32,0.008591890335083008
512,4,32,0.008341789245605469
512,8,32,0.008184194564819336
512,16,32,0.009785175323486328
512,32,32,0.008366107940673828
512,64,32,0.008865833282470703
512,128,32,0.008373022079467773
512,2,64,0.009572029113769531
512,4,64,0.010191202163696289
512,8,64,0.010998964309692383
512,16,64,0.010504007339477539
512,32,64,0.010229110717773438
512,64,64,0.010800838470458984
512,128,64,0.010660886764526367
512,2,128,0.01265096664428711
512,4,128,0.01308298110961914
512,8,128,0.012944936752319336
512,16,128,0.01302194595336914
512,32,128,0.012529134750366211
512,64,128,0.012970924377441406
512,128,128,0.012750864028930664
1024,2,2,0.02306985855102539
1024,4,2,0.017798185348510742
1024,8,2,0.016809940338134766
1024,16,2,0.01806807518005371
1024,32,2,0.01663994789123535
1024,64,2,0.018265724182128906
1024,128,2,0.01731109619140625
1024,2,4,0.025101661682128906
1024,4,4,0.022424936294555664
1024,8,4,0.022936105728149414
1024,16,4,0.02255702018737793
1024,32,4,0.023195266723632812
1024,64,4,0.025815963745117188
1024,128,4,0.024137020111083984
1024,2,8,0.023185014724731445
1024,4,8,0.022202014923095703
